YYYYMM_BASE,SITE_CD,LOC_NM,LATITUDE,LONGITUDE,AREA_CD,LOAD_DTM,CENT_CD,관광_버스
202206,A02,최민식갤러리,35.09833,129.01472,2102061010008,ZZZZZZ,BBP23,219
202206,A03,광안리 해수욕장,35.15318,129.11887,2114057010015,ZZZZZZ,BBP23,108
202206,A04,국립해양박물관,35.078728,129.08018,2104065010019,ZZZZZZ,BBP23,124
202206,A05,다대포 꿈의 낙조분수,35.046381718,128.9680068059,2110062010001,ZZZZZZ,BBP23,86
202206,A05,다대포 해수욕장,35.04652,128.96283,2110062010001,ZZZZZZ,BBP23,86
202206,A05,다대포해수욕장,35.046381718,128.9680068059,2110062010001,ZZZZZZ,BBP23,86
202206,A05,몰운대,35.046381718,128.9680068059,2110062010001,ZZZZZZ,BBP23,86
202206,A06,달맞이동산지구,35.1576814559,129.1825429127,2109054010008,ZZZZZZ,BBP23,122
202206,A07,동백섬,35.1523420491,129.1513619026,2109073010004,ZZZZZZ,BBP23,12
202206,A08,렛츠런파크 부산경남,35.1566,128.87521,2112056110002,ZZZZZZ,BBP23,66
202206,A09,영화의 거리,35.154633,129.14278,2109075010502,ZZZZZZ,BBP23,38
202206,A10,민락수변공원,35.155907,129.13435,2114060010004,ZZZZZZ,BBP23,78
202206,A11,금정산,35.280136,129.0512,2111067020004,ZZZZZZ,BBP23,0
202206,A11,범어사,35.28304308,129.0676212,2111067020004,ZZZZZZ,BBP23,8
202206,A13,국립부산립국악원,35.17132,129.05424,2105054010012,ZZZZZZ,BBP23,193
202206,A13,부산시민공원,35.16841,129.05739,2105054010011,ZZZZZZ,BBP23,254
202206,A13,부산어린이대공원,35.184998,129.04153,2105055010014,ZZZZZZ,BBP23,60
202206,A13,삼광사,35.175694,129.04338,2105055010008,ZZZZZZ,BBP23,114
202206,A13,성지곡수원지,35.187065,129.04105,2105055010014,ZZZZZZ,BBP23,44
202206,A13,송상현광장,35.166397,129.06595,2105082010006,ZZZZZZ,BBP23,299
202206,A14,APEC나루공원,35.170307,129.12564,2109074080102,ZZZZZZ,BBP23,163
202206,A14,뮤지엄다,35.171303,129.12901,2109074080102,ZZZZZZ,BBP23,128
202206,A14,벡스코,35.169247,129.13628,2109074040001,ZZZZZZ,BBP23,86
202206,A14,부산시립미술관,35.16702,129.1369,2109074100001,ZZZZZZ,BBP23,88
202206,A14,부산시청자미디어센터,35.17255,129.1302,2109074080102,ZZZZZZ,BBP23,136
202206,A14,영화의 전당,35.171055,129.12703,2109074080102,ZZZZZZ,BBP23,156
202206,A14,요트올림픽동산지구,35.1657825586,129.1350266435,2109074100001,ZZZZZZ,BBP23,104
202206,A15,송도오션파크,35.0727182987,129.017447672,2102068020009,ZZZZZZ,BBP23,70
202206,A15,송도용궁구름다리,35.06194,129.02191,2102068020005,ZZZZZZ,BBP23,36
202206,A15,송도해상케이블카,35.07664334,129.0233986,2102068020006,ZZZZZZ,BBP23,68
202206,A15,송도해수욕장,35.07595,129.01694,2102068020006,ZZZZZZ,BBP23,74
202206,A15,암남공원/송도해안볼레길,35.058804,129.01566,2102068020005,ZZZZZZ,BBP23,54
202206,A16,"송정해수욕장, 죽도공원",35.1786,129.19966,2109056030002,ZZZZZZ,BBP23,46
202206,A17,낙동강하구아미산전망대,35.05276243,128.9607468,2110062010005,ZZZZZZ,BBP23,134
202206,A17,아미산전망대,35.052727,128.96075,2110062010005,ZZZZZZ,BBP23,134
202206,A18,스카이워크 시리즈,35.100853,129.1243,2107058010004,ZZZZZZ,BBP23,36
202206,A18,신선대,35.102272,129.10277,2107060010003,ZZZZZZ,BBP23,14
202206,A18,오륙도,35.102177,129.12334,2107058010004,ZZZZZZ,BBP23,42
202206,A18,용호 Sea-Side 관광지,35.101225,129.120361,2107058010003,ZZZZZZ,BBP23,50
202206,A19,을숙도,35.107143,128.94283,2110056020007,ZZZZZZ,BBP23,16
202206,A19,을숙도 생태공원,35.11008837,128.9449571095,2110057020001,ZZZZZZ,BBP23,16
202206,A19,을숙도 철새공원,35.10449092,128.9459791,2110056020007,ZZZZZZ,BBP23,16
202206,A20,B4291,35.096855,129.03468,2101058020001,ZZZZZZ,BBP23,188
202206,A20,영도대교,35.09725344,129.035681,2101058020001,ZZZZZZ,BBP23,184
202206,A20,자갈치시장,35.09661444,129.0305818,2101058020001,ZZZZZZ,BBP23,198
202206,A21,부산커피박물관,35.15433,129.06453,2105083010001,ZZZZZZ,BBP23,306
202206,A22,태종대 유원지,35.052643,129.0878,2104066010001,ZZZZZZ,BBP23,0
