,이름,X,Y,대분류,탄소배출량
2174,옥정,129.0181629,35.1541538,돼지고기류,1.6
2175,도미노피자,129.0231487,35.1535168,패스트푸드류,2.6
2176,별미집,129.0250301,35.1521308,주류,0.32
2177,가츠모토,129.0278709,35.1642124,돼지고기류,1.6
2178,옥카페,129.0200839,35.1524159,커피,0.18
2179,빨간다리,129.0222505,35.1519019,닭고기류,0.3
2180,지니프레쉬,129.0208806,35.1485423,커피,0.18
2181,이삭토스트,129.0311584,35.1594252,돼지고기류,1.6
2182,카페 바이핸즈,129.0224868,35.1479789,커피,0.18
2183,고집센그집갈비탕,129.023774,35.1508615,국/탕/찌개류,2.736
2184,디저트39,129.025235,35.152715,커피,0.18
2185,안정들깨삼계탕,129.0169241,35.1463221,면류,1.3
2186,인쌩맥주,129.0220529,35.1518946,주류,0.32
2187,피자샵,129.0204126,35.1514938,패스트푸드류,2.6
2188,몽짬뽕,129.0210257,35.147856,면류,1.3
2189,프랭크버거,129.0209418,35.152562,패스트푸드류,2.6
2190,부산콩나물국밥,129.0233306,35.1505137,국/탕/찌개류,2.736
2191,영희네분식,129.0248656,35.1521412,패스트푸드류,2.6
2192,동래밀면,129.0187031,35.1472986,면류,1.3
2193,국민삼겹,129.023129,35.1510652,돼지고기류,1.6
2194,임금님수라갈비,129.0214623,35.1520618,돼지고기류,1.6
2195,북경,129.0209418,35.152562,면류,1.3
2196,제주흑도야지,129.0189928,35.1538133,돼지고기류,1.6
2197,부산꼼장어,129.0239323,35.1521131,생선류,5.933
2198,애플김밥,129.0197991,35.1480646,패스트푸드류,2.6
2199,베러먼데이,129.0188477,35.148334,커피,0.18
2200,스타벅스,129.0226031,35.1528905,커피,0.18
2201,메가커피,129.0245672,35.1528559,커피,0.18
2202,푸라닭,129.0187031,35.1472986,닭고기류,0.3
2203,달봉이족발,129.0227686,35.1520778,돼지고기류,1.6
2204,써브웨이,129.025235,35.152715,패스트푸드류,2.6
2205,이자카야아홉시,129.0239323,35.1521131,주류,0.32
2206,대박터진돈까스,129.0311584,35.1594252,돼지고기류,1.6
2207,국앤밥,129.0213518,35.1467265,소고기류,7.833
2208,당감댁,129.0365308,35.167618,닭고기류,0.3
2209,돼지충전소,129.0353256,35.1686649,돼지고기류,1.6
2210,시민냉면,129.0396483,35.1676183,면류,1.3
2211,복돌네통닭,129.0418695,35.1636151,닭고기류,0.3
2212,진수밥상,129.0269788,35.1683393,밥류,0.414
2213,구공탄,129.0377762,35.165417,돼지고기류,1.6
2214,동두천부대찌개,129.0398554,35.1649124,국/탕/찌개류,2.736
2215,돌비식육식당,129.0381514,35.165576,소고기류,7.833
2216,공감식당,129.0384032,35.1655198,돼지고기류,1.6
2217,꼬꼬아찌,129.0270947,35.1723135,닭고기류,0.3
2218,가디나,129.0387707,35.1650749,패스트푸드류,2.6
2219,주례껍데기집,129.0368478,35.1657855,돼지고기류,1.6
2220,어부사시사,129.0340793,35.1647275,생선류,5.933
2221,블루샥,129.0396458,35.1648331,커피,0.18
2222,ok 목장,129.0364464,35.1652931,소고기류,7.833
2223,삼수집,129.0369455,35.1656945,돼지고기류,1.6
2224,솥마루,129.037322,35.1676833,밥류,0.414
2225,주녕,129.048471,35.1588349,주류,0.32
2226,진가네추어탕,129.0329904,35.1654218,국/탕/찌개류,2.736
2227,밸라다,129.0481402,35.1578643,커피,0.18
2228,원카츠,129.0404168,35.1650428,돼지고기류,1.6
2229,수맥집,129.0377762,35.165417,주류,0.32
2230,담가화로구이,129.0374841,35.1666183,소고기류,7.833
2231,오닭꼬치,129.0367613,35.1658854,닭고기류,0.3
2232,메가커피,129.0280828,35.1705835,커피,0.18
2233,남천낙지,129.0366933,35.1674454,밥류,0.414
2234,리엔,129.0356288,35.1648675,면류,1.3
2235,이태리식당 당감,129.0399764,35.1649384,패스트푸드류,2.6
2236,당감밀면,129.0391592,35.1619618,패스트푸드류,2.6
2237,매콤이,129.0365488,35.166437,닭고기류,0.3
2238,뚜레쥬르,129.0500584,35.1576674,밥류,0.414
2239,맛칼,129.0411411,35.1650275,면류,1.3
2240,연안부두 짬뽕,129.0421251,35.1655779,면류,1.3
2241,짬뽕상회,129.0329851,35.1650072,면류,1.3
2242,메가커피,129.039608,35.1653111,커피,0.18
2243,고향손칼국수,129.0365264,35.1681318,면류,1.3
2244,티볼리,129.0390755,35.164874,커피,0.18
2245,경남가든,129.0364066,35.165618,돼지고기류,1.6
2246,요달의찜닭,129.0480673,35.157315,닭고기류,0.3
2247,카페 도란,129.0391592,35.1619618,커피,0.18
2248,암소가,129.034507,35.1646968,소고기류,7.833
2249,다리원,129.0492183,35.1580532,면류,1.3
2250,카츠래요,129.0366919,35.1673372,돼지고기류,1.6
2251,토담,129.0335986,35.1692475,국/탕/찌개류,2.736
2252,호맥,129.0374797,35.1654105,주류,0.32
2253,덕원식당,129.0380058,35.1567076,밥류,0.414
2254,오계절밀면,129.0421251,35.1655779,패스트푸드류,2.6
2255,정직유부,129.039434,35.1663041,생선류,5.933
2256,꼬꼬아찌,129.0372932,35.1654121,닭고기류,0.3
2257,롯데리아,129.0386349,35.1656169,패스트푸드류,2.6
2258,한산도,129.0355583,35.1653729,생선류,5.933
2259,통뼈감자탕,129.0366335,35.1653276,국/탕/찌개류,2.736
2260,컴포즈커피,129.0270947,35.1723135,커피,0.18
2261,노브랜드버거,129.0411373,35.1655864,패스트푸드류,2.6
2262,막끌리네,129.0364957,35.167447,주류,0.32
2263,단술,129.0363091,35.1674486,주류,0.32
2264,까꿍이식당,129.0371458,35.1650438,돼지고기류,1.6
2265,원할머니보쌈족발,129.0379088,35.1654879,돼지고기류,1.6
2266,완뚝순두부,129.0374841,35.1666183,국/탕/찌개류,2.736
2267,김종구식맛치킨,129.0386185,35.1651844,닭고기류,0.3
2268,당감동돼지국밥,129.0363552,35.1615622,국/탕/찌개류,2.736
2269,신전떡볶이,129.0394524,35.1651592,패스트푸드류,2.6
2270,호호순두부,129.04865,35.1573911,국/탕/찌개류,2.736
2271,칠자족발,129.0420669,35.1644607,돼지고기류,1.6
2272,백세해장국,129.0398329,35.1657328,소고기류,7.833
2273,맥도날드,129.0395251,35.1656994,패스트푸드류,2.6
2274,양지횟집,129.0420242,35.1654166,생선류,5.933
2275,아메리칸숯불바베큐,129.0486427,35.1585359,닭고기류,0.3
2276,봉이숯불닭갈비,129.0372932,35.1654121,닭고기류,0.3
2277,다래산곰장어,129.0374532,35.1650502,생선류,5.933
2278,팔복통닭,129.0400362,35.1661818,닭고기류,0.3
2279,삼삼오오 찜이랑보쌈,129.0327106,35.1650005,돼지고기류,1.6
2280,호야불닭발,129.0376007,35.1654275,닭고기류,0.3
2281,칠암아나고,129.0402223,35.1652788,생선류,5.933
2282,가고파대구탕대구뽈찜,129.0400991,35.1650906,국/탕/찌개류,2.736
2283,해월당,129.0371372,35.1669638,밥류,0.414
2284,동춘이만두,129.0389333,35.164046,패스트푸드류,2.6
2285,쌈촌,129.039391,35.1637896,국/탕/찌개류,2.736
2286,카페 티볼리,129.0390755,35.164874,커피,0.18
2287,바우석쇠,129.0484365,35.1578617,돼지고기류,1.6
2288,사리원,129.0400028,35.1652807,면류,1.3
2289,당감동맥주,129.0378886,35.1656233,주류,0.32
2290,차돌풍,129.0365961,35.1649764,소고기류,7.833
2291,동대문엽기떡볶이,129.0387893,35.166535,패스트푸드류,2.6
2292,백양돼지국밥,129.0288228,35.166584,돼지고기류,1.6
2293,채선당M 부산,129.0326014,35.1685169,소고기류,7.833
2294,매일매일 도매횟집,129.0376007,35.1654275,생선류,5.933
2295,맥도날드 DT,129.0644276,35.165393,패스트푸드류,2.6
2296,부산시민공원숲속북카페,129.0546471,35.1670831,커피,0.18
2297,할리스,129.0546471,35.1670831,커피,0.18
2298,컴포즈커피,129.0541079,35.1644287,커피,0.18
2299,멕시칸치킨,129.0556549,35.1626755,닭고기류,0.3
2300,하야리아제빵소,129.063537,35.1652837,밥류,0.414
2301,하이오커피,129.063537,35.1652837,커피,0.18
2302,순살만공격,129.063537,35.1652837,닭고기류,0.3
2303,빵 & 우유,129.063448,35.164347,밥류,0.414
2304,카페 051,129.063448,35.164347,커피,0.18
2305,카페 보리,129.0630294,35.1667664,커피,0.18
2306,BBQ치킨,129.063537,35.1652837,닭고기류,0.3
2307,진송추어탕,129.063537,35.1652837,국/탕/찌개류,2.736
2308,빽보이피자,129.063537,35.1652837,패스트푸드류,2.6
2309,꿀배미할매 김치찌개,129.0640935,35.1675593,국/탕/찌개류,2.736
2310,키세츠 현,129.0649848,35.1660371,생선류,5.933
2311,싸움의고수,129.063537,35.1652837,돼지고기류,1.6
2312,갤러리카페 돔,129.0546471,35.1670831,커피,0.18
2313,써니마을,129.063537,35.1652837,국/탕/찌개류,2.736
2314,로보티머,129.0633963,35.1654382,커피,0.18
2315,요거프레소,129.063537,35.1652837,커피,0.18
2316,금소라식당,129.0547031,35.1637655,밥류,0.414
2317,채림분식,129.0621666,35.1704787,패스트푸드류,2.6
2318,빈스킹토스트,129.063537,35.1652837,커피,0.18
2319,bean (하늘연못),129.0546471,35.1670831,커피,0.18
2320,파스타예요,129.063537,35.1652837,면류,1.3
2321,오꾸닭,129.063537,35.1652837,닭고기류,0.3
2322,자담치킨,129.063537,35.1652837,닭고기류,0.3
2323,뚜레쥬르,129.0540322,35.1645195,밥류,0.414
2324,온마을사랑채,129.0621214,35.1661614,면류,1.3
2325,푸드코트피크닉,129.0546471,35.1670831,커피,0.18
2326,우성갈비화로구이,129.0539351,35.1646465,돼지고기류,1.6
2327,롱테일프랜드 까페솜솜,129.062863,35.1666327,커피,0.18
2328,원조할매낙지,129.0601523,35.1421387,밥류,0.414
2329,가가와,129.0598022,35.1447648,돼지고기류,1.6
2330,용궁 쟁반 짜장,129.0583551,35.1474185,면류,1.3
2331,초원복국,129.0623987,35.1418937,국/탕/찌개류,2.736
2332,매운 양재기찜갈비,129.0606729,35.1475875,밥류,0.414
2333,고향통닭,129.0582025,35.1491956,닭고기류,0.3
2334,마산식당,129.0619558,35.1415911,돼지고기류,1.6
2335,밥상극장,129.0584878,35.1491931,밥류,0.414
2336,강원도산골손칼국수,129.0605231,35.1419642,면류,1.3
2337,해양산국밥,129.0601348,35.1433287,돼지고기류,1.6
2338,언양닭칼국수,129.0623964,35.1417224,닭고기류,0.3
2339,흥미원,129.0611259,35.1469796,면류,1.3
2340,불끈낙지,129.0617478,35.1416289,돼지고기류,1.6
2341,골목집,129.058314,35.1476352,돼지고기류,1.6
2342,전포커피로스터스,129.0609017,35.1491539,커피,0.18
2343,범일닥구이,129.0616423,35.1428017,닭고기류,0.3
2344,베이커스,129.0588946,35.1484053,밥류,0.414
2345,태화반점,129.0615475,35.1447946,면류,1.3
2346,한마당 통영숯불 장어구이,129.0606661,35.1470648,생선류,5.933
2347,부산정,129.0558112,35.1433394,면류,1.3
2348,꾸브라꼬 숯불두마리치킨,129.0527268,35.1492433,닭고기류,0.3
2349,라온파티뷔페,129.0597566,35.1497138,밥류,0.414
2350,칼질천번,129.0598871,35.1445387,생선류,5.933
2351,녹두밭,129.0579889,35.1471062,주류,0.32
2352,대가밀면,129.0607762,35.1470909,면류,1.3
2353,덕선제과,129.052823,35.1422296,밥류,0.414
2354,텐퍼센트커피,129.0605231,35.1419642,커피,0.18
2355,파리바게뜨,129.0596767,35.1486238,밥류,0.414
2356,굽네치킨,129.0617817,35.1459283,닭고기류,0.3
2357,금랑,129.0543576,35.147201,면류,1.3
2358,하이오커피,129.0582745,35.1496727,커피,0.18
2359,기소야,129.0595696,35.1488321,돼지고기류,1.6
2360,경성설렁탕,129.055756,35.1424655,국/탕/찌개류,2.736
2361,오니비,129.0598772,35.1446199,주류,0.32
2362,치킨신드롬,129.0498652,35.15117,닭고기류,0.3
2363,남포가,129.0498652,35.15117,주류,0.32
2364,댄싱컵,129.0614723,35.1415412,커피,0.18
2365,이정김밥,129.0624163,35.14156,면류,1.3
2366,텐퍼센트커피,129.0498652,35.15117,커피,0.18
2367,가마솥통닭,129.0577073,35.1473971,닭고기류,0.3
2368,뚱보돼지국밥,129.0623729,35.1424437,돼지고기류,1.6
2369,소문난구포집,129.0604311,35.1492572,생선류,5.933
2370,돈다리족발,129.0539283,35.1479528,돼지고기류,1.6
2371,본가낙지볶음,129.0603717,35.1421368,밥류,0.414
2372,스타벅스,129.0587799,35.1497133,커피,0.18
2373,박돼장,129.0632505,35.142418,돼지고기류,1.6
2374,미진축산,129.0555608,35.1443421,돼지고기류,1.6
2375,투썸플레이스,129.0627149,35.1451179,커피,0.18
2376,컴포즈커피,129.0498324,35.1511793,커피,0.18
2377,꾸바꾸바,129.0539474,35.1485837,닭고기류,0.3
2378,강가네손만두 ,129.05956,35.1489403,패스트푸드류,2.6
2379,정담칼국수,129.0597375,35.1431609,면류,1.3
2380,은화수식당,129.0601405,35.1446176,돼지고기류,1.6
2381,해뜰마루감자탕,129.059554,35.1450915,국/탕/찌개류,2.736
2382,파더스,129.0578251,35.148018,닭고기류,0.3
2383,더킹임다,129.0561981,35.1486542,패스트푸드류,2.6
2384,아덴블랑제리,129.0491295,35.1562692,커피,0.18
2385,먹고식당,129.0578251,35.148018,소고기류,7.833
2386,만수스시,129.0628952,35.1429439,생선류,5.933
2387,돈짱맛짱,129.0601311,35.1447349,돼지고기류,1.6
2388,네네치킨,129.0549859,35.1474118,닭고기류,0.3
2389,홍두깨칼국수,129.0579229,35.1470978,면류,1.3
2390,매운떡볶이,129.0602429,35.1440488,패스트푸드류,2.6
2391,박민후대구탕,129.0617817,35.1459283,국/탕/찌개류,2.736
2392,합천식당,129.0617478,35.1416289,돼지고기류,1.6
2393,도삼겹,129.0611145,35.1444108,돼지고기류,1.6
2394,우마우마이,129.0598053,35.1492356,돼지고기류,1.6
2395,츠키노준,129.0598128,35.1489652,주류,0.32
2396,BHC치킨,129.0617817,35.1459283,닭고기류,0.3
2397,손핸즈디저트카페,129.0524198,35.1501203,커피,0.18
2398,현대포장마차,129.0583606,35.1436056,주류,0.32
2399,카페 기프티,129.061173,35.1472226,커피,0.18
2400,메가커피,129.0620783,35.1484856,커피,0.18
2401,파리바게뜨,129.0626751,35.1445864,밥류,0.414
2402,숙향,129.0602231,35.1467532,밥류,0.414
2403,뚜레쥬르,129.0595516,35.1491387,패스트푸드류,2.6
2404,어랑,129.0581827,35.1476634,생선류,5.933
2405,복해루,129.0582101,35.1480868,면류,1.3
2406,일미식당,129.0577117,35.1477396,국/탕/찌개류,2.736
2407,황금밀면,129.0588852,35.1485226,면류,1.3
2408,범일맥주,129.0607029,35.1422871,주류,0.32
2409,커피스토어,129.0499185,35.1570286,커피,0.18
2410,순대실록,129.0623987,35.1418937,국/탕/찌개류,2.736
2411,원조명태갈비찌짐,129.062902,35.1426284,주류,0.32
2412,육해공포차,129.0588141,35.1481176,주류,0.32
2413,장가네포차,129.0601428,35.1439506,주류,0.32
2414,수변최고돼지국밥 롯데백화점,129.056028,35.1567231,국/탕/찌개류,2.736
2415,명란김밥,129.0610192,35.1632776,밥류,0.414
2416,블랙업커피,129.0599815,35.1560486,커피,0.18
2417,83해치,129.0610712,35.1579861,돼지고기류,1.6
2418,기장손칼국수,129.058143,35.155623,면류,1.3
2419,개미집,129.058265,35.1540265,밥류,0.414
2420,칸다소바,129.0620941,35.1581484,면류,1.3
2421,동해물회,129.0613012,35.157948,생선류,5.933
2422,고복샤브샤브,129.062109,35.1550745,국/탕/찌개류,2.736
2423,제일솥뚜껑,129.0567284,35.1557165,생선류,5.933
2424,송정3대국밥,129.0585374,35.1555655,돼지고기류,1.6
2425,영자면옥손칼국수,129.0595228,35.1596131,면류,1.3
2426,청진동아구찜,129.0558587,35.1606096,생선류,5.933
2427,송정호 일식집,129.0557618,35.1582037,밥류,0.414
2428,맛찬들왕소금구이,129.0556609,35.1554914,돼지고기류,1.6
2429,아키수산,129.0605385,35.1558364,주류,0.32
2430,춘하추동,129.0555186,35.1614688,패스트푸드류,2.6
2431,다운트클래식,129.0608675,35.1575101,커피,0.18
2432,수림식당,129.0553682,35.1557734,면류,1.3
2433,샤브드림,129.060777,35.1581509,국/탕/찌개류,2.736
2434,안목,129.058198,35.151395,돼지고기류,1.6
2435,그집곱도리탕,129.0612379,35.1581378,닭고기류,0.3
2436,오늘김해뒷고기,129.0614232,35.1563515,돼지고기류,1.6
2437,가솔린엔로지스,129.0608249,35.1584569,면류,1.3
2438,고래사어묵,129.0606305,35.1612349,국/탕/찌개류,2.736
2439,용용선생,129.0613124,35.1571186,주류,0.32
2440,키치니토 키친,129.0596451,35.1529598,밥류,0.414
2441,라라관,129.0621813,35.1530367,국/탕/찌개류,2.736
2442,마장동 김씨,129.0611665,35.1568675,돼지고기류,1.6
2443,마마된장,129.0583243,35.1552158,밥류,0.414
2444,가야밀면,129.0582231,35.156722,면류,1.3
2445,스타벅스,129.0580712,35.1568585,커피,0.18
2446,거인통닭,129.0619426,35.1600065,닭고기류,0.3
2447,라멘야,129.0561026,35.1557039,면류,1.3
2448,사월그날,129.0617493,35.1569525,주류,0.32
2449,부산초밥,129.0556536,35.1557799,생선류,5.933
2450,희마쯔,129.0553682,35.1557734,국/탕/찌개류,2.736
2451,야키토리 규,129.0557329,35.1534176,주류,0.32
2452,이슈모리,129.0583043,35.1528183,생선류,5.933
2453,라멘야,129.0611665,35.1568675,면류,1.3
2454,사미헌,129.056639,35.1589893,소고기류,7.833
2455,샤브테이,129.0615785,35.1547907,소고기류,7.833
2456,오성가든,129.0615684,35.1565485,주류,0.32
2457,구워삶기,129.0612007,35.1569663,닭고기류,0.3
2458,마라톤집,129.0571047,35.1551092,주류,0.32
2459,스콜,129.0562564,35.1599571,주류,0.32
2460,깃발집국수전골,129.0558472,35.1554717,면류,1.3
2461,야스마루,129.0619661,35.1592762,면류,1.3
2462,고기굽는남자,129.0614988,35.1570989,돼지고기류,1.6
2463,거대곰탕,129.0596451,35.1529598,국/탕/찌개류,2.736
2464,회국수할매집,129.0575729,35.1582149,면류,1.3
2465,희야네 석쇠쭈꾸미,129.055253,35.1553507,밥류,0.414
2466,명성초밥,129.0564232,35.1584233,생선류,5.933
2467,김씨반주,129.0617493,35.1569525,닭고기류,0.3
2468,스페이스앤무드,129.0576606,35.1598998,커피,0.18
2469,정동진해물탕,129.0553626,35.1604426,생선류,5.933
2470,포항돼지국밥,129.0585513,35.1557907,돼지고기류,1.6
2471,양산도,129.056028,35.1567231,생선류,5.933
2472,홍콩반점0410,129.0614404,35.1551434,면류,1.3
2473,넉아웃,129.0620127,35.1569502,커피,0.18
2474,큰부자식육점,129.0596943,35.1609907,소고기류,7.833
2475,스타벅스,129.0576465,35.1588092,커피,0.18
2476,양푼이갈비,129.0602828,35.1564336,밥류,0.414
2477,솥이랑,129.0596451,35.1529598,소고기류,7.833
2478,경찰서옆초밥집,129.0539486,35.1597338,생선류,5.933
2479,수영본가 돼지국밥,129.0585637,35.1558987,돼지고기류,1.6
2480,도시농가 코페도코,129.0603174,35.1523319,커피,0.18
2481,도쿠도쿠야,129.061453,35.1569551,주류,0.32
2482,브룩스,129.0598696,35.1567346,커피,0.18
2483,준이네 한치회모밀,129.0563027,35.1541968,생선류,5.933
2484,한끼맛있다,129.0619275,35.1546164,소고기류,7.833
2485,유동커피,129.0596451,35.1529598,커피,0.18
2486,유가네닭갈비,129.0600233,35.1542004,닭고기류,0.3
2487,항아리보쌈,129.0569943,35.1550561,돼지고기류,1.6
2488,만배아리랑보쌈,129.0579459,35.1607446,돼지고기류,1.6
2489,강갈비탕,129.0566037,35.1605039,국/탕/찌개류,2.736
2490,그레이핍플,129.0597623,35.1552302,커피,0.18
2491,고베규카츠,129.0606447,35.1547178,돼지고기류,1.6
2492,짚신,129.0596584,35.1565292,밥류,0.414
2493,부산댁,129.0614833,35.1584421,돼지고기류,1.6
2494,갓덴스시,129.056028,35.1567231,생선류,5.933
2495,담스펍,129.0619049,35.1571044,주류,0.32
2496,EU 피자 & 파스타,129.0609156,35.1536067,패스트푸드류,2.6
2497,샤브남바완,129.058198,35.151395,돼지고기류,1.6
2498,늘해랑,129.0716635,35.1722609,돼지고기류,1.6
2499,보글보글대구탕본점,129.0724583,35.1776081,국/탕/찌개류,2.736
2500,서울칼국수,129.0703241,35.173084,면류,1.3
2501,리짙커피로스터스,129.0746958,35.1766148,커피,0.18
2502,최고당돈가스,129.0700338,35.1710404,돼지고기류,1.6
2503,월남면반,129.0723606,35.1785284,면류,1.3
2504,담다,129.0683652,35.1718754,주류,0.32
2505,텐퍼센트커피,129.0700335,35.1710134,커피,0.18
2506,울릉도소주방,129.069839,35.1720877,주류,0.32
2507,몬스터비스킷,129.0696857,35.1704396,밥류,0.414
2508,정가네합천돼지국밥,129.0741357,35.1757634,돼지고기류,1.6
2509,버거킹,129.0696857,35.1704396,패스트푸드류,2.6
2510,파전닭갈비,129.0687953,35.1703483,주류,0.32
2511,신촌돌솥설렁탕 별관,129.076415,35.1754457,국/탕/찌개류,2.736
2512,행복한상,129.0689421,35.1706624,소고기류,7.833
2513,화전국수,129.0705956,35.1711887,소고기류,7.833
2514,하오방,129.0727031,35.1778583,면류,1.3
2515,씨에스타,129.0694873,35.1703782,면류,1.3
2516,수다 이모카세,129.0701546,35.1702011,주류,0.32
2517,명동찌개마을,129.0726083,35.1781656,국/탕/찌개류,2.736
2518,양정기사식당,129.0752761,35.1748339,국/탕/찌개류,2.736
2519,역전할머니맥주,129.0701071,35.1724459,주류,0.32
2520,스완양 분식,129.0726467,35.1785799,돼지고기류,1.6
2521,영심이 왕 족발,129.0699276,35.1729883,돼지고기류,1.6
2522,국시24,129.0726865,35.1782641,면류,1.3
2523,삼산회관,129.0727448,35.178525,돼지고기류,1.6
2524,투썸플레이스,129.0684258,35.1748314,커피,0.18
2525,싼마이횟집,129.0690458,35.1727167,생선류,5.933
2526,명동찌개마을,129.070128,35.170688,국/탕/찌개류,2.736
2527,코지하우스,129.0617866,35.1741777,면류,1.3
2528,부원삼계탕,129.0737443,35.1785612,국/탕/찌개류,2.736
2529,그집짬뽕927,129.069983,35.1696708,면류,1.3
2530,일타돼지국밥,129.0719409,35.1791721,돼지고기류,1.6
2531,두번째 늘해랑,129.0703134,35.1705963,돼지고기류,1.6
2532,17번지닭한마리,129.0752957,35.1746534,닭고기류,0.3
2533,왓더버거,129.0697558,35.1741166,패스트푸드류,2.6
2534,초원농원,129.0684258,35.1748314,소고기류,7.833
2535,컴포즈커피,129.0772214,35.1708325,커피,0.18
2536,양맥집,129.0700896,35.1702737,주류,0.32
2537,스타벅스,129.0692418,35.1700739,커피,0.18
2538,이비가짬뽕,129.0743983,35.1765363,면류,1.3
2539,카페 브로,129.0721963,35.1777186,커피,0.18
2540,돈오돈돼지국밥,129.0721777,35.1779801,돼지고기류,1.6
2541,레이븐 커피로스터리,129.0731752,35.1770248,커피,0.18
2542,풍미추어탕,129.0785632,35.1751832,국/탕/찌개류,2.736
2543,백억커피,129.0779811,35.1735028,커피,0.18
2544,세마이,129.0697819,35.1727553,면류,1.3
2545,철계점 횟집,129.0700719,35.1697601,생선류,5.933
2546,형제닭도리,129.0690137,35.1711035,닭고기류,0.3
2547,두꺼비오뎅,129.0685722,35.1725947,주류,0.32
2548,뚜레쥬르,129.0745422,35.1782927,밥류,0.414
2549,댄싱컵,129.068947,35.1735558,커피,0.18
2550,철길부산집,129.0694757,35.1720098,밥류,0.414
2551,투다리,129.069582,35.1717475,주류,0.32
2552,커피몽,129.0717438,35.1725216,커피,0.18
2553,한정식당,129.0685722,35.1725947,돼지고기류,1.6
2554,보글보글,129.0746399,35.1723697,커피,0.18
2555,양정맛칼국수,129.0702234,35.1729407,면류,1.3
2556,1988정통숯바베큐,129.0687056,35.1718814,닭고기류,0.3
2557,두툼왕돈까스,129.0694463,35.1697656,돼지고기류,1.6
2558,양정정통밀면,129.0705607,35.1727123,면류,1.3
2559,커피블로썸,129.0742402,35.1753659,커피,0.18
2560,다모아횟집,129.0702495,35.1724176,생선류,5.933
2561,카페 로프트,129.0728429,35.17847,커피,0.18
2562,애니핑거,129.0714923,35.1767783,커피,0.18
2563,라이옥베트남쌀국수,129.0720257,35.1781077,면류,1.3
2564,로우라이즈,129.0732056,35.1785028,커피,0.18
2565,예향정,129.0738445,35.1786684,돼지고기류,1.6
2566,탭커피,129.0725415,35.1780941,커피,0.18
2567,골목연탄갈비,129.0698171,35.1695821,돼지고기류,1.6
2568,BHC치킨,129.0649928,35.1742307,닭고기류,0.3
2569,금하루,129.0697734,35.1746212,면류,1.3
2570,명가참숯갈비,129.0665948,35.1741715,돼지고기류,1.6
2571,춘리마라탕,129.0700901,35.1711481,국/탕/찌개류,2.736
2572,하마정,129.0685807,35.1757585,커피,0.18
2573,형과아우 누룽지삼계탕&왕갈비탕,129.0734056,35.1786813,국/탕/찌개류,2.736
2574,최고집명가돼지국밥,129.0694537,35.1711717,돼지고기류,1.6
2575,현대가든,129.0651164,35.1744459,돼지고기류,1.6
2576,닭발싸롱,129.0685722,35.1725947,닭고기류,0.3
2577,24시오리농원감자탕,129.069489,35.17219,소고기류,7.833
2578,소문들었소,129.0659502,35.1744025,소고기류,7.833
2579,해적칼국수밀면,129.0684968,35.1718652,면류,1.3
2580,하삼동커피,129.0681786,35.1710388,커피,0.18
2581,을지로손칼국수,129.0720634,35.175962,생선류,5.933
2582,홍대앞맥주집,129.0694589,35.1715683,주류,0.32
2583,도미노피자,129.0549238,35.175761,패스트푸드류,2.6
2584,연지짬뽕냉면,129.0554577,35.1720516,면류,1.3
2585,화남정 돼지국밥,129.054981,35.1750845,돼지고기류,1.6
2586,the 최고집왕갈비탕,129.0545217,35.1752237,국/탕/찌개류,2.736
2587,시나브로 워크룸 커피바,129.0517405,35.1715251,커피,0.18
2588,새미정,129.0553766,35.1717188,소고기류,7.833
2589,청년피자,129.0520055,35.1707927,패스트푸드류,2.6
2590,카페 051,129.0569966,35.1713532,커피,0.18
2591,서호밀면,129.0551097,35.1731544,패스트푸드류,2.6
2592,콘피오,129.0577511,35.1719776,커피,0.18
2593,그때만난 순필씨,129.0550417,35.17384,주류,0.32
2594,교통부돼지국밥,129.0513037,35.1708529,돼지고기류,1.6
2595,소미돈까스,129.0551491,35.1728025,돼지고기류,1.6
2596,해림아구찜감자탕,129.0512747,35.169447,생선류,5.933
2597,어랏투고,129.0544546,35.1759814,커피,0.18
2598,모란국수,129.0566279,35.1717079,면류,1.3
2599,모네의정원,129.0498158,35.170388,밥류,0.414
2600,연지동토스트,129.0522646,35.1713042,커피,0.18
2601,딩동,129.0562184,35.1714501,주류,0.32
2602,장어마을,129.0519446,35.1711808,생선류,5.933
2603,달리는꼬꼬,129.0504565,35.170698,닭고기류,0.3
2604,런트커피,129.0489205,35.1707654,커피,0.18
2605,오꾸닭,129.0491049,35.1723051,닭고기류,0.3
2606,본죽,129.0491049,35.1723051,밥류,0.414
2607,카페 제이스페이스,129.0531987,35.1722336,커피,0.18
2608,더벤티 연지점,129.0491049,35.1723051,패스트푸드류,2.6
2609,부산돼지국밥,129.0569966,35.1713532,돼지고기류,1.6
2610,육미작렬,129.0584529,35.1719173,소고기류,7.833
2611,이재모피자,129.0639994,35.1552742,패스트푸드류,2.6
2612,모루식당,129.0639976,35.1559773,밥류,0.414
2613,지즈,129.0659113,35.156285,돼지고기류,1.6
2614,치킨버거클럽,129.0662882,35.1523607,패스트푸드류,2.6
2615,희와제과,129.0658068,35.1583681,밥류,0.414
2616,페이센동,129.0647191,35.1574403,밥류,0.414
2617,프리윌피자,129.0669009,35.1564205,패스트푸드류,2.6
2618,피클스,129.06415,35.1550386,패스트푸드류,2.6
2619,나이브브류어스,129.0675825,35.1531425,커피,0.18
2620,멘즈키,129.0665097,35.1550358,면류,1.3
