업체명,경도,위도,숙박유형,숙박점수
기장숲속농원캠프,129.1829515,35.21882078,캠핑/카라반/글램핑,7.98
사랑애펜션,129.2416983,35.23775114,펜션/민박/유스호스텔,8.51
휴인펜션,129.2102251,35.18455021,펜션/민박/유스호스텔,8.51
더하루펜션,129.2104981,35.18525193,펜션/민박/유스호스텔,8.51
마루하우스펜션,129.2108578,35.18618548,펜션/민박/유스호스텔,8.51
아라하우스펜션,129.2095241,35.18397327,펜션/민박/유스호스텔,8.51
더베이펜션,129.2101493,35.18436889,펜션/민박/유스호스텔,8.51
솔레이펜션,129.2096279,35.18372558,펜션/민박/유스호스텔,8.51
브라이트펜션,129.2102984,35.1846836,펜션/민박/유스호스텔,8.51
부산라메르펜션,129.2103747,35.18491747,펜션/민박/유스호스텔,8.51
백용펜션,129.2099886,35.18474468,펜션/민박/유스호스텔,8.51
더펜션502,129.2113813,35.18814181,펜션/민박/유스호스텔,8.51
해오름펜션,129.2112324,35.18782476,펜션/민박/유스호스텔,8.51
J&J하우스,129.2113093,35.18796486,펜션/민박/유스호스텔,8.51
바우하우스펜션,129.2098608,35.18480392,펜션/민박/유스호스텔,8.51
송정로뎀나무펜션,129.2095295,35.18485999,펜션/민박/유스호스텔,8.51
메종펜션,129.209296,35.18394728,펜션/민박/유스호스텔,8.51
그루브펜션,129.208151,35.18611091,펜션/민박/유스호스텔,8.51
오시리아인펜션,129.2093698,35.18516607,펜션/민박/유스호스텔,8.51
송정 메이플하우스,129.2095472,35.18544856,펜션/민박/유스호스텔,8.51
송정드림펜션,129.2092725,35.18494196,펜션/민박/유스호스텔,8.51
팰리스모텔,129.2188739,35.23391641,펜션/민박/유스호스텔,8.51
더원모텔,129.2270725,35.22715554,펜션/민박/유스호스텔,8.51
하얀둥지펜션,129.2268482,35.2274257,펜션/민박/유스호스텔,8.51
부산 기장 휴,129.215477,35.23479568,펜션/민박/유스호스텔,8.51
시랑리129펜션,129.2249174,35.19664328,펜션/민박/유스호스텔,8.51
드림하우스펜션,129.2478811,35.24026608,펜션/민박/유스호스텔,8.51
죽성여관,129.2471192,35.24069847,펜션/민박/유스호스텔,8.51
TOC모텔,129.2082617,35.25135363,펜션/민박/유스호스텔,8.51
모텔헤이데이,129.2097105,35.24929092,펜션/민박/유스호스텔,8.51
베스트루이스해밀턴호텔 기장점,129.2096433,35.24951122,호텔/리조트,28.03
모텔헤이데이,129.2097099,35.24928498,펜션/민박/유스호스텔,8.51
베스트루이스해밀턴호텔,129.2095269,35.24946788,호텔/리조트,28.03
서랑펜션,129.2059,35.20102999,펜션/민박/유스호스텔,8.51
펜션드리머,129.2253055,35.21697178,펜션/민박/유스호스텔,8.51
엔줄리오펜션,129.2231287,35.2153393,펜션/민박/유스호스텔,8.51
기장브라운도트펜션,129.2254973,35.21792679,호텔/리조트,28.03
IW모텔,129.2273042,35.22049782,펜션/민박/유스호스텔,8.51
브라운도트호텔,129.22571,35.21789346,호텔/리조트,28.03
초콜릿모텔,129.2251298,35.21643343,펜션/민박/유스호스텔,8.51
루이스호텔,129.2157481,35.24167138,호텔/리조트,28.03
기장루이스호텔,129.215798,35.24173549,호텔/리조트,28.03
드림모텔,129.2143901,35.2530168,펜션/민박/유스호스텔,8.51
부띠끄호텔 오월로,129.2136728,35.25010344,호텔/리조트,28.03
