_행정구,행정동,이름,주소,도로명 주소,카테고리,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,대분류
부산진구,범전동,빽보이피자,부산광역시 부산진구 범전동 450,부산광역시 부산진구 중앙대로 821 201동 B105호," 피자, 콘치즈피자 ",부산광역시 부산진구 범전동 450,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,패스트푸드류
부산진구,범전동,꿀배미할매 김치찌개,부산광역시 부산진구 범전동 26-72 2층,부산광역시 부산진구 경마장로 15 2층,찌개,부산광역시 부산진구 범전동 26-72 2층,129.0640935,35.1675593,정좌표,2.62301e+18,구주소,부산광역시 부산진구 경마장로 15,부산광역시 부산진구 범전동 26-72,47202.0,2623051000.0,부전1동,2623010500,범전동,국/탕/찌개류
부산진구,범전동,키세츠 현,부산광역시 부산진구 범전동 383-6,부산광역시 부산진구 범전로10번길 54-8 1층," 일식당, 스시 ",부산광역시 부산진구 범전동 383-6,129.0649848,35.1660371,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범전로10번길 54-8,부산광역시 부산진구 범전동 383-6,47249.0,2623051000.0,부전1동,2623010500,범전동,생선류
부산진구,범전동,싸움의고수,부산광역시 부산진구 범전동 450,부산광역시 부산진구 중앙대로 821 삼한골든뷰센트럴파크 상가," 보쌈, 1인보쌈 ",부산광역시 부산진구 범전동 450,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,돼지고기류
부산진구,범전동,갤러리카페 돔,부산광역시 부산진구 범전동 200,부산광역시 부산진구 시민공원로 73 공원 내 카페 돔,카페,부산광역시 부산진구 범전동 200,129.0546471,35.1670831,정좌표,2.62301e+18,구주소,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 200,47197.0,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범전동,써니마을,부산광역시 부산진구 범전동 450,부산광역시 부산진구 중앙대로 821 115호," 감자탕, 뼈해장국 ",부산광역시 부산진구 범전동 450,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,국/탕/찌개류
부산진구,범전동,로보티머,부산광역시 부산진구 범전동 338-39 삼한골든뷰센트럴파크 상가동 B129호,부산광역시 부산진구 중앙대로 821," 무인카페, 카페 ",부산광역시 부산진구 범전동 338-39 삼한골든뷰센트럴파크 상가동 B129호,129.0633963,35.1654382,정좌표,2.62301e+18,구주소,,부산광역시 부산진구 범전동 338-39,,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범전동,요거프레소,부산광역시 부산진구 범전동 450 삼한골든뷰 센트럴파크 상가 지하2층 B213호,부산광역시 부산진구 중앙대로 821 삼한골든뷰 센트럴파크 상가 지하2층 B213호," 카페, 커피 ",부산광역시 부산진구 범전동 450 삼한골든뷰 센트럴파크 상가 지하2층 B213호,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범전동,금소라식당,부산광역시 부산진구 범전동 212-159,부산광역시 부산진구 새싹로 72-1,한식,부산광역시 부산진구 범전동 212-159,129.0547031,35.1637655,정좌표,2.62301e+18,구주소,부산광역시 부산진구 새싹로 72-1,부산광역시 부산진구 범전동 212-159,47205.0,2623051000.0,부전1동,2623010500,범전동,밥류
부산진구,범전동,채림분식,부산광역시 부산진구 범전동 420-15,부산광역시 부산진구 범양로45번길 47,종합분식,부산광역시 부산진구 범전동 420-15,129.0621666,35.1704787,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범양로45번길 47,부산광역시 부산진구 범전동 420-15,47200.0,2623051000.0,부전1동,2623010500,범전동,패스트푸드류
부산진구,범전동,빈스킹토스트,부산광역시 부산진구 범전동 450,부산광역시 부산진구 중앙대로 821," 토스트, 커피 ",부산광역시 부산진구 범전동 450,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범전동,bean (하늘연못),부산광역시 부산진구 범전동 200,부산광역시 부산진구 시민공원로 73,카페,부산광역시 부산진구 범전동 200,129.0546471,35.1670831,정좌표,2.62301e+18,구주소,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 200,47197.0,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범전동,파스타예요,부산광역시 부산진구 범전동 450,부산광역시 부산진구 중앙대로 821 201동 1층 118호,양식,부산광역시 부산진구 범전동 450,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,면류
부산진구,범전동,오꾸닭,부산광역시 부산진구 범전동 450,부산광역시 부산진구 중앙대로 821 제201동 제지1층 제비124호,치킨,부산광역시 부산진구 범전동 450,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,닭고기류
부산진구,범전동,자담치킨,부산광역시 부산진구 범전동 450 삼한골든뷰오피스텔 상가동 B201호,부산광역시 부산진구 중앙대로 821 삼한골든뷰오피스텔 상가동 B201호," 치킨, 순살치킨 ",부산광역시 부산진구 범전동 450 삼한골든뷰오피스텔 상가동 B201호,129.063537,35.1652837,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙대로 821,부산광역시 부산진구 범전동 450,47249.0,2623051000.0,부전1동,2623010500,범전동,닭고기류
부산진구,범전동,뚜레쥬르,부산광역시 부산진구 범전동 212-44,부산광역시 부산진구 새싹로 84," 베이커리, 크림빵 ",부산광역시 부산진구 범전동 212-44,129.0540322,35.1645195,정좌표,2.62301e+18,구주소,부산광역시 부산진구 새싹로 84,부산광역시 부산진구 범전동 212-44,47196.0,2623051000.0,부전1동,2623010500,범전동,밥류
부산진구,범전동,온마을사랑채,부산광역시 부산진구 범전동 43-4,부산광역시 부산진구 범양로 6 2동 1층 온마을사랑채," 밥집, 양식 ",부산광역시 부산진구 범전동 43-4,129.0621214,35.1661614,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범양로 6,부산광역시 부산진구 범전동 43-4,47203.0,2623051000.0,부전1동,2623010500,범전동,면류
부산진구,범전동,푸드코트피크닉,부산광역시 부산진구 범전동 200,부산광역시 부산진구 시민공원로 73 공원 내 푸드코트," 카페, 푸드코트 ",부산광역시 부산진구 범전동 200,129.0546471,35.1670831,정좌표,2.62301e+18,구주소,부산광역시 부산진구 시민공원로 73,부산광역시 부산진구 범전동 200,47197.0,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범전동,우성갈비화로구이,부산광역시 부산진구 범전동 212-55,부산광역시 부산진구 새싹로 86," 돼지갈비, 숯불갈비 ",부산광역시 부산진구 범전동 212-55,129.0539351,35.1646465,정좌표,2.62301e+18,구주소,부산광역시 부산진구 새싹로 86,부산광역시 부산진구 범전동 212-55,47196.0,2623051000.0,부전1동,2623010500,범전동,돼지고기류
부산진구,범전동,롱테일프랜드 까페솜솜,부산광역시 부산진구 범전동 44-26,부산광역시 부산진구 범양로 22 1층,카페,부산광역시 부산진구 범전동 44-26,129.062863,35.1666327,정좌표,2.62301e+18,구주소,부산광역시 부산진구 범양로 22,부산광역시 부산진구 범전동 44-26,47203.0,2623051000.0,부전1동,2623010500,범전동,커피
부산진구,범천동,원조할매낙지,부산광역시 부산진구 범천동 837-43,부산광역시 부산진구 골드테마길 10," 낙곱새, 낙지볶음 ",부산광역시 부산진구 범천동 837-43,129.0601523,35.1421387,정좌표,2.62301e+18,구주소,부산광역시 부산진구 골드테마길 10,부산광역시 부산진구 범천동 837-43,47365.0,2623077000.0,범천1동,2623010400,범천동,밥류
부산진구,범천동,가가와,부산광역시 부산진구 범천동 847-37,부산광역시 부산진구 중앙번영로 6," 돈까스, 모밀 ",부산광역시 부산진구 범천동 847-37,129.0598022,35.1447648,정좌표,2.62301e+18,구주소,부산광역시 부산진구 중앙번영로 6,부산광역시 부산진구 범천동 847-37,47361.0,2623077000.0,범천1동,2623010400,범천동,돼지고기류
