,Unnamed: 0,LOC_NM,LATITUDE,LONGITUDE,관광_지하철,관광_숙박,관광_식음,관광_버스
224,224,오륙도&이기대 갈맷길,35.114,129.12,0,7,15,60
225,225,을숙도,35.102,128.94,0,2,6,16
226,226,자갈치·국제시장·부평깡통야시장,35.096,129.03,3,193,686,190
227,227,전포카페거리,35.155,129.06,5,162,206,258
228,228,태종대,35.057,129.08,0,1,17,8
229,229,해동 용궁사,35.188,129.22,0,16,68,40
230,230,해운대 해수욕장,35.155,129.16,1,161,1,46
231,231,황령산 봉수대,35.158,129.08,0,0,0,74
232,232,흰여울문화마을,35.078,129.04,0,0,66,100
233,233,임랑 해수욕장,35.317,129.26,0,15,12,36
234,234,일광 해수욕장,35.26,129.23,0,12,76,112
